movieId	actors
93088	2912 2569 3307 
171785	1670 1607 3091 1072 3162 
163058	1627 572 
34818	160 2399 2112 
151744	2969 595 1449 
75451	2030 2049 3102 
136034	2921 
177374	1740 22 
36044	839 1047 
124031	3445 2637 7 
86023	848 2006 3136 827 
85660	602 405 258 2398 
19403	2349 2155 
180381	3414 3137 
109911	684 1632 2556 1505 
19504	1781 
65648	387 
174447	562 2424 1004 
52972	1531 757 2062 
152344	3231 2118 121 1114 
120525	2533 31 
40041	3227 
60753	1556 760 3200 
129072	2455 1531 1058 
149776	2469 
161967	793 686 1656 1353 982 2932 1511 
49483	3162 3152 885 637 
30343	1321 1651 
52103	444 2286 
11810	3120 3365 2021 
85141	1059 2264 595 
27219	2069 1250 2097 
24386	1702 687 3106 
45945	3426 1344 
95251	971 3111 180 2143 
122559	1914 1326 2797 795 2593 
10037	898 306 1808 
47229	2381 2790 
158180	1093 3405 324 
61823	1450 
49336	1879 188 
147092	1494 1452 60 
19051	100 3222 2090 481 1773 1696 2611 2884 
37461	489 2349 2336 592 
35973	599 
100974	432 443 870 
63562	2450 2600 
140718	2625 539 1114 
56227	157 3329 
50163	988 931 2433 
27103	51 184 
82219	2083 2706 
38899	3114 1531 
57412	536 578 586 
19031	2367 
74303	3283 3415 
79826	2411 839 3365 
158178	841 672 2242 2552 840 
10241	2545 3368 477 
89755	490 931 2000 
87975	2168 517 821 3169 853 
84666	2777 2369 425 1048 
140695	1201 1052 2276 117 
67195	945 463 
53781	2771 772 2259 1455 
95503	3365 1093 2445 
153449	695 1055 2104 421 
134193	643 537 1622 405 3371 
65719	3272 918 3255 
168501	1 
102272	2761 1423 1923 
51807	3387 2132 2260 
153729	3277 2495 
38461	47 2170 844 
31231	2763 2640 
40034	3387 180 
68086	1418 1531 
124845	2389 1268 
101180	742 1703 2311 818 1274 3457 184 2864 
83260	2027 3163 2721 
168059	606 2479 170 
148697	2245 2945 
53025	2163 3035 1218 3142 
123630	1225 2349 2101 
118967	2575 1653 
168049	1113 2601 2086 
36342	2982 1910 2142 
143372	1955 2587 3395 
133387	1920 1699 2028 
98996	1059 2275 
16428	2876 1560 
92550	1318 1750 1915 3301 
120102	1656 1512 1305 
128273	1026 3045 
129408	2158 1125 2779 
65245	1106 
124041	1748 541 1779 
38455	2435 629 3243 
119951	61 2854 1305 796 910 2711 2602 1067 
78331	1624 3365 3415 
140652	3438 1340 
49228	754 934 2782 
106335	2072 2855 
132665	2435 433 
45719	456 2769 
141104	3446 1892 609 
85633	2906 1432 736 
79762	2426 242 2464 2255 2771 1029 813 
48311	2910 1240 1057 2763 
64961	1713 2373 894 1948 
94112	3426 774 1209 2368 
12158	1614 1842 2340 2910 
146459	1093 31 1121 
92069	1225 862 2413 379 
115465	1055 3214 
50932	2533 1953 3371 61 
70651	3333 2320 
31269	1225 1833 2433 
161331	247 2897 
68071	2631 1628 1197 
33158	718 1940 
37386	3118 2246 2580 
17111	1061 2709 
62263	463 1137 
10016	2377 2237 3203 698 
50218	1322 1916 1831 
58273	105 3221 
85640	1582 1441 609 1545 841 1263 
19086	815 823 
64242	931 2494 2094 
91399	2226 538 1189 
28099	988 206 
70396	3318 
52514	3318 3283 1635 
92972	1644 425 781 1204 
65058	3083 184 2003 2165 1178 
110332	1610 3086 766 
32240	251 1581 
72712	445 2487 309 637 249 1953 1913 2591 
172425	1515 1486 
124807	3309 468 2905 
174659	1478 
11467	825 472 
40917	27 1057 2926 1019 
160399	3404 2761 
39158	1873 198 
123300	3168 3133 
38547	1970 
84681	418 1552 2637 1810 3136 
146548	457 2222 906 790 
158647	1537 765 1117 373 
119985	2414 20 1149 
102309	1581 1822 1732 
53441	994 2114 
79747	418 1979 2509 348 561 1993 2569 
34210	2223 1424 31 2693 1855 2313 
157178	770 1422 
65113	1225 
37005	2520 
39363	2425 1720 
79425	644 3194 733 
166092	3446 686 
153297	2830 
174807	848 461 1882 77 
125411	2505 2725 3 
109982	2104 1134 2920 
93218	181 1469 1276 
39569	3390 704 2001 
10034	757 3198 
42690	2069 771 
72177	1295 3363 
108255	1359 1405 2308 2513 
73402	161 2467 2312 
99774	1300 1564 1648 
69467	2002 2337 2937 2922 701 
163060	2791 647 1738 
136824	609 2637 12 
118361	1787 1602 2788 
10275	639 1783 2448 
17440	1614 56 2981 
72648	848 432 3432 856 1194 1291 
168017	2952 2203 
170242	2951 
16906	3228 266 478 
122120	3162 1201 
99746	2477 3367 963 
